fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 6, 0, 495, 500, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 50, 0, 500, 498, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 3, 0, 597, 400, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 1, 0, 599, 400, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 1, 0, 598, 401, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 28, 0, 598, 399, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 58, 0, 599, 395, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 2, 0, 599, 399, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 1, 0, 599, 400, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 1, 0, 599, 400, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 6, 0, 595, 400, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 50, 0, 598, 400, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 3, 0, 697, 300, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 1, 0, 699, 300, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 1, 0, 698, 301, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 28, 0, 698, 299, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 58, 0, 698, 296, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 2, 0, 699, 299, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 1, 0, 699, 300, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 1, 0, 699, 300, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 6, 0, 695, 300, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.7, 0.97, 5, 1000, 50, 0, 698, 300, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 3, 0, 796, 201, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 799, 200, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 798, 201, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 28, 0, 798, 199, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 58, 0, 797, 197, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 2, 0, 799, 199, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 799, 200, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 799, 200, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 6, 0, 794, 201, 5, 81,  9
